Counterparty_ID,Name,Region,Type,Risk_Rating,Onboard_Date
CP00001,Stone PLC,APAC,Hedge Fund,Medium,2021-11-22
CP00002,Garrett-Wolf,NA,Corporate,Low,2022-03-22
CP00003,Adams and Sons,EMEA,Hedge Fund,Low,2021-04-08
CP00004,Kim-Wolfe,EMEA,Hedge Fund,Low,2022-09-14
CP00005,Johnson Ltd,NA,Hedge Fund,Low,2024-08-11
CP00006,"Lloyd, Mckinney and Collins",EMEA,Corporate,High,2021-04-17
CP00007,Tran Inc,APAC,Hedge Fund,Medium,2019-10-18
CP00008,Gay Inc,EMEA,Bank,Low,2021-10-18
CP00009,Valentine-Holland,EMEA,Asset Manager,Medium,2020-01-31
CP00010,Jimenez Ltd,NA,Corporate,Low,2022-12-05
CP00011,Hicks-Hill,EMEA,Bank,Low,2020-11-30
CP00012,Baird-Sanchez,APAC,Bank,Low,2019-02-21
CP00013,"Thomas, Lee and Greene",APAC,Bank,Low,2018-09-13
CP00014,"Suarez, Shields and Hill",APAC,Hedge Fund,Low,2021-03-13
CP00015,Morgan-French,EMEA,Hedge Fund,Medium,2023-02-21
CP00016,Hoover-Campbell,EMEA,Asset Manager,High,2020-06-19
CP00017,Monroe-Carpenter,APAC,Asset Manager,Low,2023-08-22
CP00018,"Burns, Hernandez and Ryan",NA,Asset Manager,Low,2018-01-27
CP00019,Cook-Hines,EMEA,Hedge Fund,Low,2019-02-26
CP00020,Gibson-Morris,APAC,Corporate,Low,2021-05-30
CP00021,Pollard and Sons,APAC,Hedge Fund,Low,2023-02-21
CP00022,"Reyes, Chase and Jenkins",APAC,Pension Fund,Low,2024-12-19
CP00023,Garner-Thornton,APAC,Asset Manager,Medium,2021-06-15
CP00024,Hughes-Alvarado,APAC,Bank,Low,2024-04-04
CP00025,"Pollard, Simpson and Johnson",APAC,Asset Manager,Low,2020-10-06
CP00026,"Sanford, Rivera and Garcia",APAC,Hedge Fund,Low,2018-08-08
CP00027,Garcia-Lozano,APAC,Asset Manager,Low,2022-02-20
CP00028,Bowen Group,NA,Bank,Low,2023-05-15
CP00029,"Booker, Jones and Harrington",APAC,Bank,Medium,2024-11-14
CP00030,Morgan-Schwartz,EMEA,Corporate,Low,2019-10-26
CP00031,"Miller, Murphy and Craig",EMEA,Bank,Medium,2020-09-17
CP00032,"James, Stewart and Higgins",NA,Corporate,Low,2018-07-09
CP00033,Brennan-Johnson,APAC,Bank,Low,2018-09-13
CP00034,Young Ltd,APAC,Asset Manager,Low,2018-03-10
CP00035,Bright-Francis,NA,Asset Manager,Medium,2019-09-09
CP00036,Good-Hodges,NA,Asset Manager,Low,2024-07-12
CP00037,"Brennan, Wallace and Benson",NA,Hedge Fund,Medium,2020-05-24
CP00038,Williams Inc,APAC,Bank,Low,2024-06-06
CP00039,Howard-Jordan,APAC,Bank,Medium,2022-06-15
CP00040,Schmidt PLC,EMEA,Hedge Fund,Low,2018-12-24
CP00041,"Sparks, Jackson and Miller",NA,Asset Manager,Medium,2018-09-14
CP00042,Harvey-Allen,EMEA,Pension Fund,Low,2020-10-05
CP00043,"Thomas, Murray and King",EMEA,Corporate,High,2024-07-29
